id,target
00000e74ad,1
00001f4945,0
0000661522,0
00007a006a,0
0000a38978,1
0000bb9f3e,1
0000c3b9c9,0
0000d61b7b,1
0001016d12,1
00010beb4a,1
000118b40d,0
0001388506,1
00014b7a9d,1
0001616241,0
00017d3cf3,1
0001808ecc,1
0001bfda2f,0
0001c76f56,1
0002014fd3,0
0002402e11,0
000243542d,0
00025c4117,0
00026119ef,1
00026ce3c5,0
000270b7cc,1
0002729283,0
0002738423,0
000288e4a5,1
000295765e,0
0002b64784,1
0002b66647,0
0002b883f5,0
0002c1fef3,0
0002cc5125,1
0002d0e9a5,1
00031da6a7,1
0003496c10,0
00034d8429,0
000367454d,1
00036ba567,0
000376cd4c,1
0003920ef5,1
0003a9d0b0,0
0003b77c3e,1
0003c0dea5,1
0003d34cd0,0
0003fc4eb4,1
000415f88a,0
00044e738f,0
00046aeb49,1
0004836462,1
0004a85055,1
00053e25a0,0
0005476da0,0
00054902ca,1
00054fb5ed,1
00054fd779,1
0005c1c3fd,1
0006166539,1
00061fc157,0
0006684722,1
000698406f,0
000727a039,1
00076d377c,1
000772535f,0
0007bc2873,1
0007dd8fa3,0
000806e898,0
0008258672,1
000859c936,0
000877a47c,0
0008983698,1
00089e1821,1
0008c2f476,0
0008cf208f,0
0008dd7867,0
00090121cf,0
00090c52ce,1
00091a8762,0
000935c367,0
00093b5c49,0
00094e51b0,0
00096eb5cd,0
000998b399,0
00099c3cb0,0
0009b0f2b6,0
0009b55d87,1
0009c48c31,0
0009cf257a,1
0009d40573,1
0009d4cdeb,1
0009e8c71e,1
000a1122c0,0
000a1f352b,1
000a218fdd,1
000a3072ab,0
000a32736f,1
000a5527d6,1
000a5b6e5c,1
000a5b744e,1
000a852fee,0
000a8caf72,0
000aa31ba5,1
000ab7f146,1
000b077d34,0
000b9f270d,1
000ba9ebe8,0
000bbeb157,1
000bcd1c97,0
000bcf8bf9,1
000be7de2d,0
000bf33edd,1
000bf685d6,1
000c3049e8,0
000c3f2d3e,1
000c41d34a,1
000c5a3b83,1
000c617dd1,0
000c6477c2,1
000c67c73a,1
000c852f37,0
000c890412,0
000c9feb63,0
000ca21306,0
000ca41c06,0
000cb60cec,0
000cbae488,0
000db11b84,0
000e2302f0,1
000e259eb1,1
000e2e4fa6,1
000e3b933f,0
000e4a26c6,1
000e579c6a,0
000e94ed5f,0
000ea3f58c,0
000eb55203,0
000ec35dda,0
000edf24c2,0
000eee8e26,0
000ef07f12,1
000ef744bf,0
000efdb49c,0
000efe500e,0
000f16d34d,1
000f1976b6,1
000f3732de,1
000f3ec278,0
000f4ffd29,0
000f844d01,1
000f89d73e,0
000f8f0e9b,1
000fb5d0bf,1
000fd2a682,1
000fe0c0ef,0
001004180a,0
00107dff56,0
0010838bae,1
0010c291b3,0
0010e0d62a,1
00111f9a51,1
001171484c,1
00118eda78,1
00119a81c9,0
0011cb84ab,0
00122ba7a6,0
00122c288c,0
0012370d42,0
00123a4be6,1
00123a98a4,0
00124889d7,1
00127ff9a5,0
0012b54664,1
0012cbe5b5,0
0013d88b31,0
0013e2f57c,0
0013f016cc,0
0014080c8a,1
00141585af,0
0014354f2a,0
00143d51a7,1
00146af6e0,1
00146f6441,0
0014724021,1
001486aaca,0
0014a2be82,0
0014b3dccf,1
00158f0c4d,0
0015c1981e,0
0015c81349,1
0015ec5ac3,0
0015f12c38,0
00161459f4,1
00161cdd2b,1
001628f228,0
001632329b,0
001639e102,0
00164d4b5e,0
001667cce1,0
00166a1414,0
0016ad80c7,1
0016aeacb6,0
0016b5cd4c,1
0016ceef8e,1
0016d501f3,0
0016d5221a,1
0016e7a212,0
0016ed801b,0
00172aaca5,1
001744e9c2,0
0017513cef,0
00176141e9,0
00176fd5ad,1
00177334b5,0
0017824b16,0
0017870e6a,1
0017a35bf4,1
0017da893b,1
0017e315e9,1
0017ee018a,1
00180d4da6,1
00180e4450,1
001835e5c1,0
0018663758,0
00189cbf16,1
0018a84716,1
0018c6b1cf,0
0018f1904d,1
0018f964f9,1
001917b98a,0
0019185987,0
0019281278,0
00193888c1,1
001946aee4,1
00196344ed,0
001981cbe4,1
0019b96b7f,0
0019deddde,0
001a188238,0
001a19d8d7,0
001a3b3f2c,1
001a446a19,0
001a6257b4,1
001ab15fa9,1
001abff86f,0
001af85a51,1
001b4b3a25,1
001b582021,0
001b5f2f43,1
001b6bc711,0
001bb4660a,0
001bb690eb,1
001bd8da6c,0
001be5e60b,1
001c064957,0
001c14eb0f,1
001c640ebe,1
001c67a7c5,1
001ccbe8ba,0
001cd8cc26,0
001d042be1,0
001d06f708,1
001d4487ee,1
001d593c4a,1
001d9e78a8,0
001dcd3626,0
001df83cd8,1
001e105064,0
001e67893b,0
001e995ab3,0
001e9bede5,1
001eeb1561,1
001f086f07,1
001f30a2c7,0
001f55c995,0
001f67d7a4,0
001fa37004,0
001fb8edae,0
001fe833a5,1
001fe86f77,1
0020149664,1
002027f667,0
00203855ee,1
002040976b,1
0020623382,1
00208ccf51,0
0020ab4fcd,0
0020afca1f,0
0020b7510d,1
0020be0866,0
0020cf7fac,1
00210906a9,0
0021095cf1,1
0021476da9,1
00216f29b0,0
0021837fbf,1
0021a85913,0
00221211f5,1
00224cee90,0
0022619d00,1
002262bc50,1
00227bc2f2,1
002299548b,0
0022b52298,1
0022cc8fe4,1
0022d18ca3,1
0022da435e,0
0022e6932f,1
0022ecda7f,0
0022ee474c,1
0022f2414f,1
0023351af1,1
00233f1af9,0
00236f6a79,1
00238b2e73,0
002396a3df,0
0023ae0401,0
0023e45ee3,1
00240f3468,0
0024159123,0
00244be79c,0
00245046cd,0
002477871a,0
00247b6408,0
002497f539,0
0024a051d7,0
0024f625a4,1
0024fbe2a0,0
002518468f,1
0025710dd2,0
0025782d8e,0
002598ef43,0
0025aaf0ca,0
0025e69772,1
0025f5c202,1
00260563d4,1
00261c1b0f,1
00261cd6e5,0
0026281de5,1
00263937d0,1
00263af060,0
00264cb8f4,1
0026690226,1
0026b6f099,1
0026e1aa4e,0
00270d11aa,0
00271559e6,1
002756d256,1
002766ef2e,0
002784b0f7,0
0027b587aa,1
0027b9d13e,0
0027d079e0,1
0028260e77,1
0028431a50,1
00289cecce,0
0028ae7318,1
0028ec706c,0
002913b7a9,1
0029204f82,0
0029277914,1
00294672f6,0
00295644c5,0
00298af0e1,0
00298c6cb8,0
0029d6d32b,0
0029ebc1db,0
002a06e8a9,0
002a2c1dea,0
002a53257b,1
002a54a1b6,0
002a564211,0
002a59fa8d,0
002a65d386,0
002aa0f5f9,1
002ab9fa76,1
002ae23792,0
002ae722eb,0
002b356fc3,1
002b5e1f58,1
002b766b27,0
002ba0074e,1
002ba1a10d,1
002bacfad2,0
002bb4e08a,0
002be14774,1
002c259124,1
002c319f7a,1
002c3d871b,1
002c3f5e70,1
002c474e05,1
002c57b67a,0
002c58b6f6,0
002c7ea4b6,1
002c938b58,0
002ccebe2b,1
002d44ee1e,0
002d4f63c9,1
002db92308,1
002dc64287,1
002dca2ef2,0
002e0a66cc,0
002e446915,0
002e45adf3,1
002e9b0667,0
002ec9d1ff,1
002ee37d52,0
002efe2421,1
002f07dd76,1
002f1168f4,0
002f1e98cd,1
002f5e453a,1
002f6b4df6,0
002f73c8ba,1
002f8fc91e,0
002fa29b19,0
002fa5c237,1
002fa9b1e8,0
002faafb23,1
00302be309,0
00303f4a34,1
00305b869d,0
0030770a30,1
003078c258,1
003086b61c,0
00309a2707,0
0030a8f92d,0
0030c3b01b,1
0030c79fb4,0
003107fbcd,1
003112824c,0
00311cb0e4,0
00313d932b,1
0031662ebb,1
00319111e2,1
003198cbde,1
0031ab076a,0
0031b2739d,1
0031bdca49,1
0031d39ebf,0
0031db996a,0
0031e5097a,0
0031e7e00a,1
0031fe0223,1
00323eeb3b,0
0032432bc6,1
00324eff8f,1
00326150ff,1
0032654bcc,1
0032d5fe4c,0
0032efc019,0
0032f12ab1,1
0033211a3d,1
00334115f5,1
00334b1e28,0
00334cedd6,1
003363fb9a,0
003383e837,0
0033844dc3,0
00339e3047,1
00339f5aca,0
0033d4a76e,1
003426abc4,1
00342f7db4,1
00343f8804,0
00344a4a5d,0
00344dbdd1,0
00344dc3a4,1
0034680a06,1
0034be4c45,0
0034c04a6b,0
0034c63605,0
0034fb9c91,1
0035321ebc,0
0035620c2d,1
003593de60,0
0035bab428,1
0035be029a,0
0035d2e522,0
0035d4e399,1
003605c98f,1
00361565ba,1
003632c1f7,0
0036747940,0
0036905958,1
0036fdea42,1
00376a1eed,0
00378a4a30,1
0037a014a7,1
0037aceb06,0
0037c34698,0
0037cc59e5,0
0037d03f4d,1
0037d3856d,1
0037ef2c23,0
003826113f,1
00383d764d,0
00383ec90e,0
0038568111,0
00387dea40,1
003898701a,0
00389ed72a,0
0038d163a2,1
00391d4a35,1
0039390b3e,0
003940c4f7,1
00394bc317,1
00396e17bb,1
00397cf0e8,0
00398f50bc,1
00399be308,1
0039d8499f,1
003a01a1a8,0
003a40fe6b,1
003a62ac30,0
003b01a259,1
003b0ba41e,1
003b3c903c,0
003b3e3ef4,1
003b5c6f7c,1
003b85429f,1
003bac9aa8,0
003bb1fae7,1
003bb8a120,1
003c08891b,0
003c0a48ae,0
003c1c8a2a,0
003c1e0a1b,0
003c2ae2ac,0
003c3faf90,0
003c437a9a,0
003c649df8,1
003ca88629,1
003d559233,1
003d652fb4,0
003dda11d5,1
003e0e4783,1
003e22dc17,0
003e2b7e5e,0
003e42175c,1
003e6adfe0,1
003e700043,1
003e733acc,0
003e7ca1cd,1
003e8b8457,1
003e99de8a,0
003ebdf65e,0
003ed94a44,1
003ef0d7d8,1
003ef2aa37,0
003f098a28,0
003f151cae,1
003f6e589c,1
003f936214,0
003fad1792,0
003fbd12fc,1
00401e4e2e,0
00404c04c6,1
00404f766a,1
00406e8bce,1
004078084e,0
004090143b,0
00409dcf7c,0
0040aabf6b,0
0040b1524c,1
0040c171ac,0
0040f20442,0
0040f3c67f,0
004122364d,1
00412ee4cb,0
00414ca902,1
004150e229,1
00416e6902,1
004171471a,1
00417d3d83,0
0041896bb2,0
00418cae9b,0
00418f951c,1
004199a55d,1
0041a1c679,0
0041b20fcb,1
0041b6d397,0
004200f521,0
00420cfff8,0
00420d20ef,0
00421347f7,1
004232bacb,0
004232bc56,0
00423ed6da,1
004260ec22,0
00427dc64a,1
0042b66d54,0
0042ba6f87,1
0042bf5979,1
0042ca9ac0,0
0042e1a44f,0
0042e4b17c,0
0042ec94f8,1
0042f7aefa,1
00432ac4e3,0
00432ffae1,0
00433658db,1
004349ef0d,1
0043a55cd0,1
0043aa1fc5,0
0043ac5cf1,0
0043ec26fc,1
0043ed5527,0
0043f4c395,1
00441b542e,1
0044382258,0
0044493232,0
004455f4ee,1
0044799329,1
0044933281,1
0044aaece5,0
0044b50d7a,0
0044c09c4a,1
0044d49c1b,1
0044f4ac10,1
00451df79f,1
0045384f78,0
004539d82c,0
00457b7ba7,1
00457c7f83,0
0045827673,1
0045930893,1
0045abc2c6,0
0045ce7c88,1
0045f7155b,0
00460a79b1,1
0046496aa8,0
00464ca8e5,1
00464da3e2,1
00465e4dc7,0
00466a7ba1,0
0046754564,0
00467f29e0,0
00468b1942,1
0046bd6236,1
0046ced1e0,1
0046d3adf9,1
0046db8cd7,0
0046f84e63,0
0047203a45,0
004734a74f,1
004763b2e1,1
0047854dc6,1
00478b2d9d,1
0047a958cf,0
0047b787e2,1
0048071121,0
004840c358,0
0048413cc3,1
00485207db,0
00486e9fda,1
00486efa1c,0
004884bdf6,0
00489d6da3,0
0048a0214e,0
0048cd2d29,1
0048fc9e46,1
00492a4d79,0
004952081d,1
0049892d70,1
00498e6d5e,1
0049a00b45,0
0049c4f244,0
0049e7ecaf,1
004a21b6c4,1
004a2cb679,0
004a351971,0
004a513ec8,1
004a5301ec,0
004a8fefe1,0
004aa70a3f,1
004aaaa5f1,0
004ad640e7,1
004ad93a0b,0
004b011d9b,1
004b5e9156,0
004b84306d,0
004b9631f5,1
004ba731d0,0
004bb8a73a,1
004bbcc49a,1
004bc3b1b3,1
004bff3be9,1
004c40044f,0
004c47ed97,1
004c9c1b37,0
004cb95748,0
004cc9d437,1
004cdf2afc,1
004cfd4ed6,0
004d0a9b0d,1
004d0ba103,1
004d0ccff7,0
004d0f560f,1
004d1c7045,1
004d3c2b6d,1
004d4931bd,1
004d5e9747,1
004d6024b7,1
004d69d9ad,1
004d779ddc,0
004d9217c0,1
004db2ea38,0
004dc26d3d,0
004e242cd1,0
004e30e313,1
004e41710c,0
004e7aa912,0
004ecffa44,1
004ed21f3c,1
004edf0985,1
004ef3e010,0
004f29542c,1
004f316ce1,0
004f45c078,0
004f7c5bd1,0
004fafff4b,0
004fb13587,0
00500a5ac0,0
00506b97ad,1
005070a2cb,0
0050d87baa,1
0050e3ab53,1
0050f43f57,1
0051174ad7,1
00511bff99,1
00511e319d,0
00512d1c91,1
0051561c1d,1
005162a75b,1
005169b05d,0
00518c74af,0
005190155f,1
00519c6b7c,1
0051bff95e,1
0051d50149,1
0051ece4cf,1
0052048168,1
0052085483,0
00522271a1,1
005229ee35,0
005231417a,0
0052422b53,0
0052773f83,0
0052acd9c8,1
0052c694b4,1
0052f5d376,1
005310772f,0
005311aa0f,0
005347a1bc,0
00534a19aa,1
00536abca9,0
00536e2c38,0
0053794147,0
0053864316,1
00539a3b30,0
00539d695f,1
00539f893f,1
0053ca9a77,1
0053e3931e,0
0053ec6fd6,1
0053f5cd37,0
00547ed62e,0
0054863511,1
00548f0f41,1
00549586b4,1
00549f47cd,1
0054cd16ec,0
0054d34fbb,1
0054e55647,0
0054e83a75,1
0055105f87,1
00551a7925,1
0055264477,1
0055296988,0
00554ea00b,0
0055553b79,0
00558cf151,0
0055d7f759,0
0055e78eb7,1
005606d543,1
0056194444,0
005621aa3b,0
005636c445,1
005646617c,1
00564b1518,1
00567cce06,1
00567db5e3,1
00568fdb0c,1
00569281f2,1
0056a55470,1
0056a6dedf,0
0056aa8b5f,1
0056be14c2,1
0056ce5582,0
0056deee11,0
0056f15e57,1
0056f6e661,0
0057031f95,0
005711766c,0
0057302e6b,0
0057414f2a,1
005750b782,0
00575b71b3,1
00577dee91,1
00578ed373,1
00579d1965,0
0057a7a245,0
0057ceca0f,1
0057d10998,0
0057fa7745,0
0057fcc211,1
00582365d1,0
005855cbaf,1
00587357f8,1
0058742e03,0
00587bebd4,0
00589d6145,1
0058d4ed6b,1
0058e6dda5,1
0058fb1c37,1
00591c767e,0
005971d2d3,0
0059c0fcd4,1
0059c40d4d,0
005a2789a5,0
005a2e20e1,0
005a61aac7,0
005a8eaadf,1
005aceb185,0
005ad7d384,0
005adc1b13,0
005af0bc03,0
005b3098e3,1
005b9aa1bb,0
005bda3442,0
005c11f552,1
005c421ee9,1
005c5d02e1,0
005cd040a1,0
005cd2efec,0
005cd9a898,0
005ce03edb,0
005d1e4b22,1
005d44f222,0
005d4fcef7,0
005d526828,1
005db1ac52,0
005dc2f409,1
005ddce023,0
005df29ead,1
005dfbffb7,1
005e0b0bce,0
005e0cc518,1
005e158ae7,1
005e2b14ee,1
005e33b8da,0
005e98c344,1
005e9e3c65,0
005ea787e2,1
005eb76142,1
005ebb5c06,0
005ec2ab2e,1
005ee71410,0
005eea1c23,1
005efec0ce,0
005f122731,0
